INSTANCE 1
Each section starts with a number, representing lines to read. Lines starting with asterisc contain instance description.
1. Time to Stabilize NxM matrix (N=LSI groups, M=Age groups)
2. Factor of Severity PG Nx1 matrix (N=LSI groups)
3. Deterioration Function parameters matrix Nx3 (N=LSI groups, columns=kappa,w, phi)
4. Deterioration time PI Nx1 matrix (N=LSI groups)
5. Hospitals and their capacity for N LSI groups
6. Vehicles with type (0=ambulance,1=helicopter), id, origin, TD, TAT and TDS time.
7. Casualties with id, age, lsi, distance to heliport, and assigned heliport id
*************************************************************
3
14.98    15.04    9.3
42    29.9    27.6
93.3    62.14    65
3
0.1    1    0.048    0.1
0.1    1.6    0.374    0.4
0.1    1.8    0.4    4.5
2
2880
360
6
1    100001    23    30    20
2    100002    24    21    0
3    100003    24    21    0
4    100004    16    19    0
5    100005    24    21    0
6    100006    25    22    0
11
0    1    100001    1    1    0    0
0    2    100001    1    1    0    0
0    3    100001    1    1    0    0
0    4    100003    1    1    0    0
0    5    100002    1    1    0    0
0    6    100005    1    1    0    0
0    7    100004    1    1    0    0
0    8    100001    1    1    0    0
1    1    300001    1    5    0.75    0.75
1    2    300001    1    5    0.75    0.75
1    3    300001    1    5    0.75    0.75
6
39060    1    1    3    0    5    0.861974332
41040    2    3    3    0    5    3.490324168
42010    3    2    3    0    5    1.751090824
42010    4    2    3    0    5    1.751090824
41070    5    2    3    0    5    6.231909049
39060    6    2    2    0    5    0.861974332
39060	7	1	2	0	5	0.861974332
36030	8	1	2	0	5	0.946105735
36030	9	2	2	0	5	0.946105735
59088	10	2	2	0	5	2.998063503
41050	11	2	2	0	5	5.083155947
38080	12	2	2	0	5	1.820822216
42050	13	1	2	0	5	3.703266399
36010	14	3	2	0	5	2.412212412
42060	15	2	2	0	5	1.133197919
42060	16	2	2	0	5	1.133197919
36030	17	2	2	0	5	0.946105735
41050	18	2	2	0	5	5.083155947
41030	19	2	2	0	5	2.14132158
36010	20	2	2	0	5	2.412212412
37090	21	1	2	0	5	3.44454082
47020	22	1	2	0	5	3.10895084
42030	23	2	2	0	5	1.600160017
41030	24	2	2	0	5	2.14132158
41020	25	2	2	0	5	2.070781116
36020	26	1	2	0	5	2.652691946
42050	27	2	2	0	5	3.703266399
42010	28	2	2	0	5	1.751090824
4230	29	2	2	0	5	11.65764322
36020	30	2	2	0	5	2.652691946
42030	31	2	2	0	5	1.600160017
37090	32	3	2	0	5	3.44454082
37050	33	3	1	0	5	4.533156412
37050	34	2	1	0	5	4.533156412
36020	35	2	1	0	5	2.652691946
39060	36	1	1	0	5	0.861974332
42050	37	2	1	0	5	3.703266399
42050	38	2	1	0	5	3.703266399
42050	39	2	1	0	5	3.703266399
42050	40	2	1	0	5	3.703266399
40040	41	2	1	0	5	4.386059701
24010	42	1	1	0	5	3.049963248
42050	43	1	1	0	5	3.703266399
41050	44	2	1	0	5	5.083155947
36010	45	2	1	0	5	2.412212412
36010	46	2	1	0	5	2.412212412
36010	47	1	1	0	5	2.412212412
45020	48	2	1	0	5	3.844837361
10010	49	2	1	0	5	3.279338585
16020	50	2	1	0	5	2.379951114
38030	51	2	1	0	5	3.075860832
42050	52	2	1	0	5	3.703266399
40030	53	2	1	0	5	2.010483733
36010	54	1	1	0	5	2.412212412
36010	55	3	1	0	5	2.412212412
42050	56	2	1	0	5	3.703266399
42050	57	2	1	0	5	3.703266399
42060	58	2	1	0	5	1.133197919
40040	59	2	1	0	5	4.386059701
41030	60	2	1	0	5	2.14132158
36020	61	2	1	0	5	2.652691946
37020	62	1	1	0	5	2.218309371
37020	63	2	1	0	5	2.218309371
24090	64	2	1	0	5	1.578556472
